Column1;Exp_Mears
0.053898422;0.968330361
9.473684211;0.958574181
17.68421053;0.933526012
24.08015663;0.909820687
30.94736842;0.758188825
37.89473684;0.657996146
41.05263158;0.632947977
45.57733502;0.621831513
48.63157895;0.620423892
54.85062766;0.676541857
61.89473684;0.770712909
65.05124957;0.818712766
70.73684211;0.895953757
74.40884487;0.949105754
79.57894737;0.971098266
82.67050559;1.32106011
86.8856386;1.912843669
91.52228492;0.353978784
93.47368421;-0.419075145
94.10526316;-0.732177264
96.63157895;-1.370905588
97.89473684;-1.471098266
101.6842105;-1.145472062
102.3157895;-0.819845857
102.9473684;-0.218689788
102.9473684;-0.40655106
106.1052632;-0.068400771
113.0526316;-0.156069364
116.2105263;-0.469171484
120.6315789;-0.519267823
125.0526316;-0.268786127
128.2105263;-0.231213873
132;-0.331406551
134.5263158;-0.368978805
136.4210526;-0.444123314
142.1052632;-0.368978805
146.5263158;-0.318882466
150.3157895;-0.38150289
155.3684211;-0.331406551
160.4210526;-0.268786127
166.1052632;-0.318882466
171.1578947;-0.38150289
173.6842105;-0.419075145
178.1052632;-0.419075145
183.1578947;-0.431599229
186.3157895;-0.368978805
193.2631579;-0.456647399
196.4210526;-0.481695568
201.4736842;-0.394026975
205.2631579;-0.431599229
210.3157895;-0.494219653
215.3684211;-0.494219653
219.7894737;-0.456647399
222.3157895;-0.469171484
226.1052632;-0.469171484
231.7894737;-0.594412331
234.9473684;-0.556840077
239.3684211;-0.581888247
245.0526316;-0.631984586
246.9473684;-0.66955684
253.2631579;-0.682080925
258.9473684;-0.644508671
261.4736842;-0.606936416
264;-0.581888247
267.1578947;-0.657032755
272.2105263;-0.619460501
277.8947368;-0.707129094
280.4210526;-0.644508671
286.7368421;-0.757225434
292.4210526;-0.757225434
296.8421053;-0.66955684
301.2631579;-0.631984586
303.1578947;-0.494219653
306.9473684;-0.444123314
311.3684211;-0.318882466
314.5263158;-0.218689788
317.0526316;-0.09344894
322.090061;0.047220922
328.8342739;0.282002598
336.2107567;0.506521863
342.5334562;0.679961254
349.4884257;0.837380138
357.0756651;0.943254786
360.6315789;0.996146435
363.1578947;0.983622351
